Decoded 3167.8 seconds
[20:53.680 --> 20:55.680] 当时他然后他拉
[20:55.680 --> 20:56.680] 是不是他们在
[20:56.680 --> 20:57.680] 在品了一次
[20:57.680 --> 20:58.680] 不拉平均
[20:58.680 --> 20:59.680] 你不要说看
[20:59.680 --> 21:00.680] 你公司是要留的
[21:00.680 --> 21:04.680] 公司留
[21:04.680 --> 21:06.680] 就是有些固定的费用
[21:06.680 --> 21:07.680] 他要分开到
[21:07.680 --> 21:08.680] 每个品上面要留多少
[21:08.680 --> 21:10.680] 这个又要
[21:11.680 --> 21:12.680] 就是有的中台的费用
[21:12.680 --> 21:13.680] 然后他要分开到
[21:13.680 --> 21:14.680] 每个品上面去
[21:16.680 --> 21:18.680] 这个又要存在
[21:18.680 --> 21:19.680] 那里
[21:23.680 --> 21:24.680] 主要是能源 中台
[21:24.680 --> 21:26.680] 就中台 能源 品牌
[21:26.680 --> 21:29.680] 那些费用是在
[21:30.680 --> 21:31.680] 对 这个是固定的
[21:31.680 --> 21:33.680] 固定在是要分开到
[21:33.680 --> 21:34.680] 现在就要分开到
[21:34.680 --> 21:35.680] 固定到每个品
[21:35.680 --> 21:36.680] 固两个点 三个点
[21:36.680 --> 21:37.680] 把它扣出来
[21:38.680 --> 21:39.680] 那你就是所有的品上面
[21:39.680 --> 21:41.680] 你就是要
[21:41.680 --> 21:42.680] 你有一种包
[21:42.680 --> 21:43.680] 市场推荡这个
[21:43.680 --> 21:44.680] 是全台的
[21:44.680 --> 21:45.680] 对 要去的
[21:45.680 --> 21:46.680] 完以后
[21:46.680 --> 21:47.680] 再也不主的点
[21:47.680 --> 21:48.680] 过完以后
[21:48.680 --> 21:49.680] 那个实际上是他们可以
[21:49.680 --> 21:50.680] 对 用的完
[21:50.680 --> 21:51.680] 对
[21:51.680 --> 21:52.680] 然后十个点是两个朋友
[21:52.680 --> 21:53.680] 嗯
[21:53.680 --> 21:54.680] 有些品
[21:54.680 --> 21:55.680] 有些品
[21:55.680 --> 21:56.680] 五个点是两个朋友
[21:56.680 --> 21:57.680] 嗯
[21:57.680 --> 21:58.680] 那五个点是两个朋友
[21:58.680 --> 21:59.680] 就能源
[21:59.680 --> 22:00.680] 就是
[22:00.680 --> 22:01.680] 那个市场上面
[22:01.680 --> 22:02.680] 还是输
[22:02.680 --> 22:03.680] 五个点是两个朋友
[22:04.680 --> 22:05.680] 五个点是两个朋友
[22:05.680 --> 22:06.680] 输完以后呢
[22:09.680 --> 22:10.680] 那个就不能直接输入
[22:10.680 --> 22:11.680] 输入
[22:11.680 --> 22:12.680] 输入
[22:12.680 --> 22:13.680] 你要输入
[22:13.680 --> 22:14.680] 你要加班你调不了
[22:14.680 --> 22:15.680] 输入
[22:15.680 --> 22:16.680] 你希望我说
[22:16.680 --> 22:17.680] 你认输
[22:17.680 --> 22:18.680] 然后能源费用的
[22:18.680 --> 22:19.680] 那些是你点的
[22:19.680 --> 22:20.680] 或者是打的地方
[22:20.680 --> 22:21.680] 嗯
[22:21.680 --> 22:22.680] 那你
[22:22.680 --> 22:23.680] 今年能源费用的
[22:23.680 --> 22:24.680] 你挺好
[22:24.680 --> 22:25.680] 今年能源费用的
[22:25.680 --> 22:26.680] 你点的一页
[22:26.680 --> 22:27.680] 因为你小时候
[22:27.680 --> 22:28.680] 这些能源和下一个能源
[22:28.680 --> 22:29.680] 费用大概不成
[22:29.680 --> 22:30.680] 然后动态过来
[22:30.680 --> 22:32.680] 才是对应的市场
[22:32.680 --> 22:34.680] 可以用的市场
[22:34.680 --> 22:35.680] 嗯
[22:35.680 --> 22:36.680] 因为你
[22:36.680 --> 22:37.680] 你这个人员
[22:37.680 --> 22:38.680] 包括中台
[22:38.680 --> 22:39.680] 你小时候
[22:39.680 --> 22:40.680] 他就有便利量的
[22:40.680 --> 22:41.680] 便利量
[22:42.680 --> 22:43.680] 你超过高了
[22:43.680 --> 22:44.680] 你能源费用的就低了
[22:44.680 --> 22:45.680] 对
[22:46.680 --> 22:47.680] 嗯
[23:06.680 --> 23:07.680] 你再反对一个
[23:07.680 --> 23:08.680] 你再反对一个
[23:10.680 --> 23:11.680] 这个
[23:11.680 --> 23:12.680] 这个才能
[23:12.680 --> 23:13.680] 反对好了
[23:17.680 --> 23:19.680] 华不款的时候
[23:19.680 --> 23:20.680] 肯定是有时间的呀
[23:21.680 --> 23:23.680] 财务所有东西调完
[23:23.680 --> 23:24.680] 然后上个月的
[23:24.680 --> 23:26.680] 这个月就播给你们呀
[23:26.680 --> 23:27.680] 还是
[23:28.680 --> 23:30.680] 还是你个月一个月来
[23:30.680 --> 23:31.680] 你如果每个月
[23:31.680 --> 23:33.680] 一个月一个月来
[23:33.680 --> 23:35.680] 就这个月就
[23:35.680 --> 23:36.680] 这个月就
[23:36.680 --> 23:37.680] 就用上个月来电用
[23:38.680 --> 23:39.680] 对
[23:39.680 --> 23:40.680] 上个月的
[23:40.680 --> 23:41.680] 这个月就用上个月的电用
[23:41.680 --> 23:42.680] 对
[23:42.680 --> 23:43.680] 上个月的订单
[23:43.680 --> 23:45.680] 一定要定
[23:45.680 --> 23:46.680] 这个情况吧
[23:46.680 --> 23:48.680] 还是要看你实际用的情况吧
[23:48.680 --> 23:50.680] 但是有盈率比较高的
[23:50.680 --> 23:51.680] 那你可能
[23:51.680 --> 23:52.680] 对吧
[23:52.680 --> 23:53.680] 你结一个人的
[23:53.680 --> 23:54.680] 跟他没关系
[23:54.680 --> 23:55.680] 这个
[23:55.680 --> 23:56.680] 就这个月是用
[23:56.680 --> 23:57.680] 这个当月的
[23:57.680 --> 23:58.680] 这个上个月
[23:58.680 --> 23:59.680] 怎么上个月
[23:59.680 --> 24:00.680] 要把卡通
[24:00.680 --> 24:01.680] 三个月
[24:01.680 --> 24:03.680] 三个月有结余呢
[24:03.680 --> 24:05.680] 结余是可以一直
[24:05.680 --> 24:06.680] 把他结余出来
[24:06.680 --> 24:07.680] 对 结余发
[24:07.680 --> 24:09.680] 啊 累积一下
[24:09.680 --> 24:10.680] 然后他什么情况
[24:10.680 --> 24:11.680] 就不超啊
[24:11.680 --> 24:12.680] 对他这么
[24:12.680 --> 24:13.680] 这个职作
[24:13.680 --> 24:14.680] 当然不天
[24:14.680 --> 24:15.680] 就是每个品要
[24:15.680 --> 24:17.680] 要多少投到这个
[24:17.680 --> 24:18.680] 这个词里面呢
[24:18.680 --> 24:19.680] 可以是要按三个月的数据
[24:19.680 --> 24:20.680] 才能出到来
[24:20.680 --> 24:21.680] 要不然是
[24:21.680 --> 24:22.680] 当月你还没开始在家
[24:22.680 --> 24:23.680] 你这个数字
[24:23.680 --> 24:24.680] 多少职合怎么出来呢
[24:24.680 --> 24:25.680] 对
[24:25.680 --> 24:26.680] 数
[24:26.680 --> 24:27.680] 数
[24:27.680 --> 24:28.680] 好
[24:28.680 --> 24:30.680] 实际使用的情况
[24:30.680 --> 24:31.680] OK
[24:31.680 --> 24:32.680] 这个月是用
[24:32.680 --> 24:33.680] 就那
[24:33.680 --> 24:34.680] 就月底的时候
[24:34.680 --> 24:35.680] 就财务
[24:35.680 --> 24:36.680] 要把什么
[24:36.680 --> 24:37.680] 干完了呀
[24:37.680 --> 24:38.680] 能源 能台
[24:38.680 --> 24:39.680] 能不能就全部拦
[24:39.680 --> 24:40.680] 搞完
[24:40.680 --> 24:41.680] 搞完数据之后
[24:41.680 --> 24:42.680] 就那个了
[24:44.680 --> 24:45.680] 那他的
[24:45.680 --> 24:46.680] 包括说品牌是
[24:46.680 --> 24:47.680] 生态
[24:47.680 --> 24:48.680] 生态
[24:48.680 --> 24:49.680] 然后美国人
[24:49.680 --> 24:50.680] 品牌的分用
[24:50.680 --> 24:51.680] 当然
[24:52.680 --> 24:53.680] 当然我要提拔
[24:53.680 --> 24:54.680] 你就是提拔
[24:54.680 --> 24:55.680] 你就不能用
[24:55.680 --> 24:56.680] 对啊
[24:56.680 --> 24:57.680] 就表一个点
[24:57.680 --> 24:58.680] 或者怎么样
[24:58.680 --> 24:59.680] 就代表名义团
[24:59.680 --> 25:00.680] 嗯
[25:04.680 --> 25:05.680] 我知道
[25:05.680 --> 25:06.680] 人员飞舞
[25:06.680 --> 25:07.680] 可以代表名义团
[25:07.680 --> 25:08.680] 我要不要往中团
[25:08.680 --> 25:09.680] 是代表名义团
[25:09.680 --> 25:10.680] 是代表名义团
[25:10.680 --> 25:11.680] 就
[25:11.680 --> 25:12.680] 就点数有关系
[25:12.680 --> 25:13.680] 点数会变难吗
[25:14.680 --> 25:15.680] 我都是品牌名义团
[25:15.680 --> 25:17.680] 当然我要一个点
[25:17.680 --> 25:18.680] 它是不会变的
[25:18.680 --> 25:19.680] 对
[25:22.680 --> 25:23.680] 能源
[25:23.680 --> 25:24.680] 那就跟中台
[25:24.680 --> 25:25.680] 就跟人一个人一样
[25:25.680 --> 25:26.680] 一般是
[25:26.680 --> 25:27.680] 做八
[25:27.680 --> 25:28.680] 做一个一个
[25:28.680 --> 25:29.680] 做两个意义
[25:29.680 --> 25:30.680] 中台是固定的
[25:30.680 --> 25:31.680] 那个分用点
[25:31.680 --> 25:32.680] 数数变成一半
[25:32.680 --> 25:33.680] 本来就是这样的
[25:33.680 --> 25:34.680] 实际就有意义
[25:34.680 --> 25:35.680] 数数变成一半
[25:35.680 --> 25:36.680] 你业绩做的
[25:36.680 --> 25:38.680] 又搞得为什么有这种
[25:38.680 --> 25:39.680] 别的嘛
[25:39.680 --> 25:40.680] 那他还说
[25:40.680 --> 25:41.680] 爱去开发发
[25:41.680 --> 25:42.680] 他半公斤死的呀
[25:42.680 --> 25:43.680] 你业绩发不发
[25:43.680 --> 25:44.680] 比一帐篇就比了
[25:49.680 --> 25:50.680] 那这些口头流出来
[25:50.680 --> 25:51.680] 我们来品
[25:53.680 --> 25:54.680] 样品
[25:54.680 --> 25:55.680] 物料
[25:57.680 --> 25:58.680] 你那个物料
[25:58.680 --> 25:59.680] 你封药
[25:59.680 --> 26:00.680] 把它分效
[26:00.680 --> 26:01.680] 你别人按照上市场
[26:01.680 --> 26:02.680] 都是样品
[26:02.680 --> 26:03.680] 你家里
[26:03.680 --> 26:04.680] 你样品要进管控
[26:04.680 --> 26:06.680] 物料也要管控
[26:07.680 --> 26:08.680] 这些是
[26:08.680 --> 26:09.680] 所有的活动的
[26:09.680 --> 26:11.680] 食食品都是通过系统
[26:11.680 --> 26:12.680] 一点
[26:12.680 --> 26:13.680] 到样品再去
[26:13.680 --> 26:14.680] 就是这边批完了
[26:14.680 --> 26:15.680] 才会到
[26:15.680 --> 26:16.680] 就没有了
[26:16.680 --> 26:17.680] 就不够让他们自己去
[26:17.680 --> 26:18.680] 没有
[26:18.680 --> 26:19.680] 你这个都要
[26:19.680 --> 26:20.680] 客户的
[26:20.680 --> 26:21.680] 投资出来
[26:21.680 --> 26:22.680] 这是拉出来
[26:22.680 --> 26:23.680] 我这个样品
[26:23.680 --> 26:24.680] 这个你的
[26:24.680 --> 26:28.680] 市场上就在你上面了
[26:28.680 --> 26:29.680] 对
[26:29.680 --> 26:30.680] 还有一些是
[26:30.680 --> 26:31.680] 可能是没有
[26:31.680 --> 26:33.680] 指定的客户的指向
[26:35.680 --> 26:36.680] 指向对
[26:36.680 --> 26:37.680] 然后你这个
[26:37.680 --> 26:38.680] 你这个还不够
[26:38.680 --> 26:39.680] 客户呢
[26:39.680 --> 26:40.680] 要这个样呢
[26:40.680 --> 26:41.680] 那是
[26:41.680 --> 26:42.680] 那这种叫
[26:42.680 --> 26:43.680] 这招
[26:43.680 --> 26:44.680] 这招你的这个
[26:44.680 --> 26:45.680] 总当市场上来
[26:46.680 --> 26:47.680] 那我还要
[26:47.680 --> 26:48.680] 还是最终还是要
[26:48.680 --> 26:49.680] 分给他们
[26:49.680 --> 26:50.680] 他们也不
[26:50.680 --> 26:51.680] 客户还没有的这种
[26:51.680 --> 26:52.680] 有客户
[26:52.680 --> 26:53.680] 直接接到客户
[26:53.680 --> 26:54.680] 没有客户的指向来
[26:57.680 --> 26:58.680] 客户打案没进来
[26:58.680 --> 26:59.680] 还是
[26:59.680 --> 27:00.680] 他吃了一样
[27:02.680 --> 27:03.680] 不是打案没进
[27:03.680 --> 27:04.680] 是他妈妈
[27:04.680 --> 27:05.680] 他没钱打进来
[27:09.680 --> 27:10.680] 就是开发客户了
[27:10.680 --> 27:11.680] 对对
[27:11.680 --> 27:12.680] 他
[27:12.680 --> 27:14.680] 他购他钱打进来
[27:14.680 --> 27:16.680] 才有费用才能的
[27:16.680 --> 27:17.680] 他没有的话
[27:17.680 --> 27:18.680] 就在你
[27:18.680 --> 27:19.680] 你们那个
[27:19.680 --> 27:20.680] 总当市场上面
[27:20.680 --> 27:21.680] 这个你都要算
[27:21.680 --> 27:22.680] 到时候算费用吗
[27:22.680 --> 27:23.680] 你算
[27:23.680 --> 27:24.680] 运气吗
[27:24.680 --> 27:25.680] 这样吧
[27:30.680 --> 27:31.680] 不好意思
[27:31.680 --> 27:32.680] 我说你这里
[27:32.680 --> 27:33.680] 可能是要有个词子了
[27:41.680 --> 27:42.680] 这里没有词子
[27:42.680 --> 27:43.680] 这里没有证明
[27:44.680 --> 27:45.680] 我
[27:45.680 --> 27:46.680] 这样的话
[27:48.680 --> 27:49.680] 直接从外国人
[27:49.680 --> 27:50.680] 能分出来吗
[27:50.680 --> 27:51.680] 老客户
[27:51.680 --> 27:52.680] 争品
[27:52.680 --> 27:53.680] 或者天客户
[27:53.680 --> 27:54.680] 开发基础
[27:54.680 --> 27:56.680] 要不然我要补给
[27:56.680 --> 27:57.680] 这个维度
[27:57.680 --> 27:58.680] 要很来的
[27:58.680 --> 27:59.680] 他不这样
[27:59.680 --> 28:00.680] 他非常不贯
[28:00.680 --> 28:01.680] 你个莫弄贯
[28:01.680 --> 28:03.680] 没地方贯的时候
[28:03.680 --> 28:04.680] 在你们分的时候
[28:04.680 --> 28:05.680] 你贯哪里
[28:06.680 --> 28:07.680] 就给你那个
[28:07.680 --> 28:08.680] 你那个
[28:09.680 --> 28:10.680] 就给你那个
[28:11.680 --> 28:12.680] 华客那个很像
[28:12.680 --> 28:13.680] 分的
[28:14.680 --> 28:15.680] 分类的
[28:16.680 --> 28:17.680] 你莫弄的时候
[28:17.680 --> 28:18.680] 肯定要
[28:18.680 --> 28:19.680] 总的那个
[28:19.680 --> 28:20.680] 莫弄是客户组续的
[28:20.680 --> 28:21.680] 对
[28:32.680 --> 28:33.680] 有些可以只算
[28:33.680 --> 28:34.680] 也可以知道他
[28:34.680 --> 28:35.680] 挂到他
[28:35.680 --> 28:36.680] 东西的工工的
[28:36.680 --> 28:37.680] 工工的工工账
[28:37.680 --> 28:38.680] 不可能应该也可以吧
[28:45.680 --> 28:46.680] 应该是省里有
[28:46.680 --> 28:47.680] 中心有啊
[28:47.680 --> 28:48.680] 对
[28:48.680 --> 28:49.680] 省里
[28:49.680 --> 28:50.680] 现在是
[28:50.680 --> 28:51.680] 现在是本来去
[28:51.680 --> 28:52.680] 那个做预算的时候
[28:52.680 --> 28:53.680] 是把那个央品
[28:53.680 --> 28:54.680] 整个费用也
[28:54.680 --> 28:55.680] 也算到多少钱
[28:55.680 --> 28:57.680] 然后每个中心分了
[28:57.680 --> 28:58.680] 然后中心呢
[28:58.680 --> 28:59.680] 一把这个央品
[28:59.680 --> 29:00.680] 费用人分到
[29:00.680 --> 29:01.680] 二省里去
[29:01.680 --> 29:03.680] 分是有个有个词分在哪里
[29:04.680 --> 29:05.680] 然后每个月
[29:05.680 --> 29:06.680] 不打央品
[29:06.680 --> 29:07.680] 所有的机会都拿出来
[29:09.680 --> 29:10.680] 看得不好看
[29:12.680 --> 29:15.680] 这个也单独做个词吧
[29:15.680 --> 29:16.680] 没有
[29:16.680 --> 29:17.680] Bastel观念
[29:17.680 --> 29:18.680] 那是这样的
[29:19.680 --> 29:20.680] 你这个词就是
[29:20.680 --> 29:21.680] 公司的
[29:21.680 --> 29:22.680] 就是这个词
[29:23.680 --> 29:25.680] 中心公司有词
[29:27.680 --> 29:28.680] 中心有
[29:28.680 --> 29:29.680] 然后省里有
[29:29.680 --> 29:30.680] 中心大量的
[29:34.680 --> 29:35.680] 然后这个就
[29:35.680 --> 29:36.680] 或者说
[29:36.680 --> 29:37.680] 下面没有什么
[29:37.680 --> 29:38.680] 就六个
[29:38.680 --> 29:39.680] 那不可以
[29:39.680 --> 29:40.680] 地待导致吧
[29:40.680 --> 29:41.680] 你不可以
[29:41.680 --> 29:42.680] 把那颗他都不可以叫我
[29:42.680 --> 29:43.680] 把那样
[29:50.680 --> 29:51.680] 你待导致
[29:52.680 --> 29:54.680] 现在肯定要保留
[30:00.680 --> 30:01.680] 地待导致
[30:01.680 --> 30:02.680] 简单啊
[30:02.680 --> 30:03.680] 他这个下来
[30:03.680 --> 30:04.680] 能做到那颗
[30:04.680 --> 30:05.680] 他都不会
[30:05.680 --> 30:06.680] 就不够
[30:07.680 --> 30:08.680] 简单点
[30:08.680 --> 30:09.680] 就不够待的
[30:11.680 --> 30:12.680] 现在说要比里面
[30:12.680 --> 30:13.680] 够设计
[30:23.680 --> 30:24.680] 你如果刻刻
[30:24.680 --> 30:25.680] 把面试的话
[30:25.680 --> 30:26.680] 我觉得
[30:26.680 --> 30:27.680] 实事处都可以
[30:28.680 --> 30:29.680] 就是
[30:29.680 --> 30:30.680] 就是
[30:30.680 --> 30:31.680] 昨天的
[30:31.680 --> 30:32.680] 今天就没有
[30:34.680 --> 30:35.680] 那是要他资料
[30:35.680 --> 30:36.680] 体交成为
[30:36.680 --> 30:37.680] 一个这个费用
[30:37.680 --> 30:38.680] 他钱付了就快
[30:38.680 --> 30:39.680] 都钱付了就可以用了
[30:43.680 --> 30:44.680] 今天各位
[30:44.680 --> 30:45.680] 单打了钱付了
[30:45.680 --> 30:46.680] 我们发过了
[30:46.680 --> 30:47.680] 就就就
[30:47.680 --> 30:48.680] 费用了呀
[30:48.680 --> 30:49.680] 费用了就接口了
[30:49.680 --> 30:50.680] 对
[30:50.680 --> 30:51.680] 就不用
[30:51.680 --> 30:52.680] 这个月用上月的份
[30:52.680 --> 30:54.680] 就一个月用一个月的份
[30:58.680 --> 30:59.680] 他收起
[30:59.680 --> 31:00.680] 比方说起的时候
[31:00.680 --> 31:01.680] 他肯定是
[31:01.680 --> 31:02.680] 比方说我要做
[31:02.680 --> 31:03.680] 一个活动
[31:03.680 --> 31:04.680] 那你一单
[31:04.680 --> 31:05.680] 这个费用是
[31:05.680 --> 31:06.680] 他可能下个两张
[31:06.680 --> 31:07.680] 才能存有这个
[31:07.680 --> 31:08.680] 这个费用就花
[31:08.680 --> 31:09.680] 那他
[31:09.680 --> 31:10.680] 可能一个月
[31:10.680 --> 31:12.680] 收起的时候就直接超
[31:12.680 --> 31:13.680] 超了可能就很多了
[31:13.680 --> 31:14.680] 什么
[31:14.680 --> 31:15.680] 他比较月初
[31:15.680 --> 31:16.680] 我要月初只下了一单
[31:16.680 --> 31:17.680] 他可能
[31:17.680 --> 31:18.680] 不正常要上三单嘛
[31:18.680 --> 31:20.680] 他这个月初下来单的时候
[31:20.680 --> 31:21.680] 如果费用出来
[31:21.680 --> 31:22.680] 只有1000块
[31:22.680 --> 31:23.680] 不他升起的时候
[31:23.680 --> 31:24.680] 可能
[31:24.680 --> 31:25.680] 正常要收起3000
[31:25.680 --> 31:26.680] 那他可能超了
[31:26.680 --> 31:27.680] 把他收起不了
[31:27.680 --> 31:28.680] 超可以给他
[31:28.680 --> 31:29.680] 超又不是不能的
[31:30.680 --> 31:32.680] 他现在给你写卡
[31:32.680 --> 31:33.680] 卡卡
[31:33.680 --> 31:34.680] 写不要擦擦
[31:34.680 --> 31:35.680] 一定上网的
[31:35.680 --> 31:36.680] 他客户也不能只有一个
[31:38.680 --> 31:39.680] 他就客户天赔
[31:39.680 --> 31:41.680] 客户他本来都
[31:41.680 --> 31:42.680] 不用说死的呀
[31:43.680 --> 31:44.680] 这个都一样的
[31:45.680 --> 31:46.680] 你可以
[31:46.680 --> 31:47.680] 你可以根据上个月的
[31:47.680 --> 31:48.680] 这个模拟
[31:48.680 --> 31:49.680] 给他
[31:49.680 --> 31:50.680] 给他四两个月嘛
[31:51.680 --> 31:52.680] 我原来
[31:52.680 --> 31:53.680] 刚开始
[31:53.680 --> 31:54.680] 第一个月上一张
[31:54.680 --> 31:55.680] 他的目标
[31:55.680 --> 31:56.680] 他这个是
[31:56.680 --> 31:57.680] 目标是50万
[31:57.680 --> 31:58.680] 那可四点就两万
[31:58.680 --> 31:59.680] 先到他那张上
[31:59.680 --> 32:00.680] 然后
[32:00.680 --> 32:01.680] 如果说
[32:01.680 --> 32:02.680] 不是先到他那
[32:02.680 --> 32:03.680] 那他这个就是
[32:03.680 --> 32:04.680] 也是一个
[32:04.680 --> 32:05.680] 没有
[32:05.680 --> 32:06.680] 业绩还没开始的时候
[32:06.680 --> 32:07.680] 然后开始要活动要开始
[32:07.680 --> 32:09.680] 那我不是没法升聘了
[32:09.680 --> 32:10.680] 那你就是信我
[32:10.680 --> 32:11.680] 额度吗
[32:11.680 --> 32:12.680] 对 现在还是额度嘛
[32:12.680 --> 32:13.680] 然后他实际可能
[32:13.680 --> 32:14.680] 做不到50万
[32:14.680 --> 32:15.680] 那我要把他收回来
[32:15.680 --> 32:16.680] 那他就变成自信
[32:16.680 --> 32:17.680] 没有 他可能是这样的
[32:19.680 --> 32:21.680] 他这个也是用卡的额度
[32:21.680 --> 32:23.680] 根据你的上个月的业绩
[32:23.680 --> 32:24.680] 一个是你的额度
[32:24.680 --> 32:25.680] 对
[32:26.680 --> 32:27.680] 我按照目标来
[32:27.680 --> 32:28.680] 来的额度也是一件
[32:30.680 --> 32:31.680] 50万我给他
[32:31.680 --> 32:32.680] 两万
[32:32.680 --> 32:33.680] 然后开始
[32:33.680 --> 32:34.680] 这个月不是目标
[32:34.680 --> 32:35.680] 我说
[32:35.680 --> 32:36.680] 要活动是也是当用
[32:36.680 --> 32:37.680] 那是升聘
[32:37.680 --> 32:38.680] 按照两万升聘
[32:38.680 --> 32:39.680] 做
[32:39.680 --> 32:40.680] 到十几个月上
[32:40.680 --> 32:41.680] 做了60万
[32:41.680 --> 32:42.680] 那可以扯到额度
[32:42.680 --> 32:43.680] 你的信仰都提高了
[32:43.680 --> 32:44.680] 就扯到两万四了
[32:49.680 --> 32:50.680] 这个也可以
[32:51.680 --> 32:52.680] 就按照上个月的
[32:52.680 --> 32:54.680] 这个情况给你取信的额度
[32:54.680 --> 32:55.680] 然后实际上
[32:55.680 --> 32:56.680] 要是超过这个信用额度
[32:56.680 --> 32:58.680] 就给你取信实际的额度
[33:02.680 --> 33:03.680] 是吧
[33:03.680 --> 33:04.680] 实际上这个月的
[33:04.680 --> 33:05.680] 现在要是成交量
[33:05.680 --> 33:06.680] 超过那个的话
[33:06.680 --> 33:07.680] 我就给你
[33:07.680 --> 33:08.680] 这都是增加的嘛
[33:08.680 --> 33:10.680] 但是他晚上整的嘛
[33:10.680 --> 33:11.680] 然后挖出不了
[33:11.680 --> 33:13.680] 你的额度是下降了
[33:18.680 --> 33:19.680] 我弄不了的话
[33:19.680 --> 33:21.680] 你上个月就欠我钱了
[33:21.680 --> 33:22.680] 但是欠钱
[33:22.680 --> 33:23.680] 就要上个月还的
[33:26.680 --> 33:27.680] 那就是付出了
[33:27.680 --> 33:28.680] 这就是两万
[33:28.680 --> 33:29.680] 然后下个月可能是
[33:29.680 --> 33:30.680] 五十万的
[33:30.680 --> 33:31.680] 还是五十万的
[33:31.680 --> 33:32.680] 两万可能要减掉
[33:32.680 --> 33:33.680] 上个月的没完成
[33:33.680 --> 33:34.680] 就减掉五千
[33:34.680 --> 33:35.680] 只有一万
[33:36.680 --> 33:37.680] 把上个月先还了
[33:51.680 --> 33:53.680] 额度升批怎么说批啊
[33:55.680 --> 33:56.680] 就是他那个不用
[33:56.680 --> 33:58.680] 升批就是活动的时候
[33:58.680 --> 33:59.680] 就开始批了
[34:00.680 --> 34:01.680] 他收起的是什么
[34:01.680 --> 34:02.680] 嗯
[34:02.680 --> 34:03.680] 他收起
[34:03.680 --> 34:04.680] 收起就
[34:04.680 --> 34:05.680] 收起了这么多
[34:05.680 --> 34:06.680] 不能超过
[34:06.680 --> 34:07.680] 他的这个
[34:07.680 --> 34:08.680] 这个额度
[34:08.680 --> 34:09.680] 就是他那个
[34:09.680 --> 34:10.680] 这个额度
[34:10.680 --> 34:11.680] 就是他那个
[34:11.680 --> 34:12.680] 这个额度
[34:12.680 --> 34:13.680] 就是他那个
[34:13.680 --> 34:14.680] 这个额度
[34:14.680 --> 34:15.680] 就是他那个
[34:15.680 --> 34:16.680] 这个额度
[34:16.680 --> 34:17.680] 就是他那个
[34:17.680 --> 34:18.680] 这个额度
[34:18.680 --> 34:19.680] 就是他那个
[34:19.680 --> 34:20.680] 这个额度
[34:20.680 --> 34:21.680] 他的这个
[34:22.680 --> 34:23.680] 行
[34:23.680 --> 34:24.680] 然后执行可能不会减少吗
[34:24.680 --> 34:25.680] 执行可能会减少
[34:25.680 --> 34:26.680] 增加可能不会
[34:26.680 --> 34:27.680] 不可能跟他超
[34:27.680 --> 34:28.680] 超升起去给他
[34:28.680 --> 34:29.680] 给他和了嘛
[34:29.680 --> 34:30.680] 那个正常的
[34:30.680 --> 34:31.680] 减少
[34:31.680 --> 34:32.680] 那到下个月了
[34:32.680 --> 34:33.680] 下个月增加
[34:33.680 --> 34:34.680] 可以升起来说
[34:34.680 --> 34:35.680] 你不超过这个
[34:38.680 --> 34:39.680] 那你的额度
[34:39.680 --> 34:41.680] 是不是该去这个
[34:42.680 --> 34:43.680] 上个月的一个
[34:43.680 --> 34:45.680] 情况来增加的
[34:45.680 --> 34:46.680] 后面
[34:46.680 --> 34:47.680] 第一步的时候是没有
[34:47.680 --> 34:48.680] 没有
[34:48.680 --> 34:49.680] 没有
[34:49.680 --> 34:50.680] 因为应该没有的时候
[34:50.680 --> 34:51.680] 没有
[34:51.680 --> 34:52.680] 后面是
[34:52.680 --> 34:53.680] 按照额度直接到
[34:53.680 --> 34:54.680] 到10到10
[34:54.680 --> 34:55.680] 增加的
[34:57.680 --> 34:58.680] 这第一个月是没有
[34:58.680 --> 34:59.680] 因为
[34:59.680 --> 35:00.680] 因为他电单没出来
[35:00.680 --> 35:01.680] 是没有的
[35:01.680 --> 35:02.680] 你跟他还要分等级啊
[35:02.680 --> 35:03.680] 嗯
[35:03.680 --> 35:04.680] 是不是还要分等级呢
[35:04.680 --> 35:05.680] 这个
[35:05.680 --> 35:06.680] 用过你
[35:06.680 --> 35:08.680] 比如说你有的
[35:08.680 --> 35:09.680] 这个
[35:09.680 --> 35:10.680] 账户可能要给他
[35:10.680 --> 35:11.680] 比如说一万
[35:11.680 --> 35:12.680] 有的可能十万
[35:13.680 --> 35:14.680] 因为你
[35:14.680 --> 35:15.680] 首页肯定是没有
[35:15.680 --> 35:17.680] 你刚开始肯定是没有的
[35:17.680 --> 35:18.680] 没有贴单吗
[35:18.680 --> 35:19.680] 现在不用考虑这个了
[35:19.680 --> 35:20.680] 我其他来基督
[35:20.680 --> 35:21.680] 不是
[35:21.680 --> 35:22.680] 到6月就已经有了嘛
[35:22.680 --> 35:23.680] 是吧
[35:23.680 --> 35:24.680] 十月至到6月要倒进去
[35:24.680 --> 35:25.680] 就去抓下去吧
[35:25.680 --> 35:26.680] 到6月
[35:26.680 --> 35:27.680] 那已经有
[35:27.680 --> 35:28.680] 至到6月的数据
[35:29.680 --> 35:30.680] 现在不用考虑
[35:30.680 --> 35:31.680] 是我之前
[35:31.680 --> 35:32.680] 十月份开始的时候
[35:32.680 --> 35:33.680] 七成年的时候
[35:33.680 --> 35:34.680] 我没有额度数据
